D,O,H,L,C,V
9/7/16,2185.169922,2187.870117,2179.070068,2186.159912,3319420000
9/6/16,2181.610107,2186.570068,2175.100098,2186.47998,3447650000
9/2/16,2177.48999,2184.870117,2173.590088,2179.97998,3091120000
9/1/16,2171.330078,2173.560059,2157.090088,2170.860107,3392120000
8/31/16,2173.560059,2173.790039,2161.350098,2170.949951,3766390000
8/30/16,2179.449951,2182.27002,2170.409912,2176.120117,3006800000
8/29/16,2170.189941,2183.47998,2170.189941,2180.379883,2654780000
8/26/16,2175.100098,2187.939941,2160.389893,2169.040039,3342340000
8/25/16,2173.290039,2179,2169.73999,2172.469971,2969310000
8/24/16,2185.090088,2186.659912,2171.25,2175.439941,3148280000
8/23/16,2187.810059,2193.419922,2186.800049,2186.899902,3041490000
8/22/16,2181.580078,2185.149902,2175.959961,2182.639893,2777550000
8/19/16,2184.23999,2185,2175.129883,2183.870117,3084800000
8/18/16,2181.899902,2187.030029,2180.459961,2187.02002,3300570000
8/17/16,2177.840088,2183.080078,2168.5,2182.219971,3388910000
8/16/16,2186.23999,2186.23999,2178.139893,2178.149902,3196400000
8/15/16,2186.080078,2193.810059,2186.080078,2190.149902,3078530000
8/12/16,2183.73999,2186.280029,2179.419922,2184.050049,3000660000
8/11/16,2177.969971,2188.449951,2177.969971,2185.790039,3423160000
8/10/16,2182.810059,2183.409912,2172,2175.48999,3254950000
8/9/16,2182.23999,2187.659912,2178.610107,2181.73999,3334300000
8/8/16,2183.76001,2185.439941,2177.850098,2180.889893,3327550000
8/5/16,2168.790039,2182.870117,2168.790039,2182.870117,3663070000
8/4/16,2163.51001,2168.189941,2159.070068,2164.25,3709200000
8/3/16,2156.810059,2163.790039,2152.560059,2163.790039,3786530000
8/2/16,2169.939941,2170.199951,2147.580078,2157.030029,3848750000
8/1/16,2173.149902,2178.290039,2166.209961,2170.840088,3505990000
7/29/16,2168.830078,2177.090088,2163.48999,2173.600098,4038840000
7/28/16,2166.050049,2172.850098,2159.73999,2170.060059,3664240000
7/27/16,2169.810059,2174.97998,2159.070068,2166.580078,3995500000
7/26/16,2168.969971,2173.540039,2160.179932,2169.179932,3442350000
7/25/16,2173.709961,2173.709961,2161.949951,2168.47998,3057240000
7/22/16,2166.469971,2175.110107,2163.23999,2175.030029,3023280000
7/21/16,2172.909912,2174.560059,2159.75,2165.169922,3438900000
7/20/16,2166.100098,2175.629883,2164.889893,2173.02002,3211860000
7/19/16,2163.790039,2164.629883,2159.01001,2163.780029,2968340000
